sanction_source_id,kpi_id,period_date,period_granularity,value,numerator,denominator,source_url,evidence_date,evidence_quote,source_id,source_record_id,metric_key,raw_row_key
es:sanctions:tear_resolutions,kpi:recurso_estimation_rate,2025-12-31,year,0.25,300,1200,https://example.org/tear/2025,2025-12-31,Fixture contractual TEAR 2025 para validar transformacion raw->kpi en pipeline reproducible.,boe_api_legal,fixture:tear:2025:kpi-recurso-estimation-rate,kpi:recurso_estimation_rate|es:sanctions:tear_resolutions|2025-12-31|year,line:2
es:sanctions:tear_resolutions,kpi:formal_annulment_rate,2025-12-31,year,0.075,90,1200,https://example.org/tear/2025,2025-12-31,Fixture contractual TEAR 2025 para validar transformacion raw->kpi en pipeline reproducible.,boe_api_legal,fixture:tear:2025:kpi-formal-annulment-rate,kpi:formal_annulment_rate|es:sanctions:tear_resolutions|2025-12-31|year,line:2
es:sanctions:tear_resolutions,kpi:resolution_delay_p90_days,2025-12-31,year,160,,,https://example.org/tear/2025,2025-12-31,Fixture contractual TEAR 2025 para validar transformacion raw->kpi en pipeline reproducible.,boe_api_legal,fixture:tear:2025:kpi-resolution-delay-p90-days,kpi:resolution_delay_p90_days|es:sanctions:tear_resolutions|2025-12-31|year,line:2
es:sanctions:teac_resolutions,kpi:recurso_estimation_rate,2025-12-31,year,0.3,270,900,https://example.org/teac/2025,2025-12-31,Fixture contractual TEAC 2025 para validar calculo de ratios y trazabilidad de evidencia.,boe_api_legal,fixture:teac:2025:kpi-recurso-estimation-rate,kpi:recurso_estimation_rate|es:sanctions:teac_resolutions|2025-12-31|year,line:3
es:sanctions:teac_resolutions,kpi:formal_annulment_rate,2025-12-31,year,0.08,72,900,https://example.org/teac/2025,2025-12-31,Fixture contractual TEAC 2025 para validar calculo de ratios y trazabilidad de evidencia.,boe_api_legal,fixture:teac:2025:kpi-formal-annulment-rate,kpi:formal_annulment_rate|es:sanctions:teac_resolutions|2025-12-31|year,line:3
es:sanctions:teac_resolutions,kpi:resolution_delay_p90_days,2025-12-31,year,145,,,https://example.org/teac/2025,2025-12-31,Fixture contractual TEAC 2025 para validar calculo de ratios y trazabilidad de evidencia.,boe_api_legal,fixture:teac:2025:kpi-resolution-delay-p90-days,kpi:resolution_delay_p90_days|es:sanctions:teac_resolutions|2025-12-31|year,line:3
es:sanctions:contencioso_sentencias,kpi:recurso_estimation_rate,2025-12-31,year,0.3,192,640,https://example.org/contencioso/2025,2025-12-31,Fixture contractual contencioso 2025 para validar salida apply sin edicion manual de KPIs.,boe_api_legal,fixture:contencioso:2025:kpi-recurso-estimation-rate,kpi:recurso_estimation_rate|es:sanctions:contencioso_sentencias|2025-12-31|year,line:4
es:sanctions:contencioso_sentencias,kpi:formal_annulment_rate,2025-12-31,year,0.059375,38,640,https://example.org/contencioso/2025,2025-12-31,Fixture contractual contencioso 2025 para validar salida apply sin edicion manual de KPIs.,boe_api_legal,fixture:contencioso:2025:kpi-formal-annulment-rate,kpi:formal_annulment_rate|es:sanctions:contencioso_sentencias|2025-12-31|year,line:4
es:sanctions:contencioso_sentencias,kpi:resolution_delay_p90_days,2025-12-31,year,220,,,https://example.org/contencioso/2025,2025-12-31,Fixture contractual contencioso 2025 para validar salida apply sin edicion manual de KPIs.,boe_api_legal,fixture:contencioso:2025:kpi-resolution-delay-p90-days,kpi:resolution_delay_p90_days|es:sanctions:contencioso_sentencias|2025-12-31|year,line:4
es:sanctions:defensor_pueblo_quejas,kpi:recurso_estimation_rate,2025-12-31,year,0.22,99,450,https://example.org/defensor/2025,2025-12-31,Fixture contractual Defensor 2025 para validar pipeline estricto de carga procedural oficial.,boe_api_legal,fixture:defensor:2025:kpi-recurso-estimation-rate,kpi:recurso_estimation_rate|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,line:5
es:sanctions:defensor_pueblo_quejas,kpi:formal_annulment_rate,2025-12-31,year,0.06,27,450,https://example.org/defensor/2025,2025-12-31,Fixture contractual Defensor 2025 para validar pipeline estricto de carga procedural oficial.,boe_api_legal,fixture:defensor:2025:kpi-formal-annulment-rate,kpi:formal_annulment_rate|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,line:5
es:sanctions:defensor_pueblo_quejas,kpi:resolution_delay_p90_days,2025-12-31,year,98,,,https://example.org/defensor/2025,2025-12-31,Fixture contractual Defensor 2025 para validar pipeline estricto de carga procedural oficial.,boe_api_legal,fixture:defensor:2025:kpi-resolution-delay-p90-days,kpi:resolution_delay_p90_days|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,line:5
