issue_id,decision,reviewed_primary_cluster_id,reviewed_cluster_ids,reviewer,reviewed_at,rationale
parl-initiative:senado:leg14:exp:620/000007,accept_current,climate-environment-water,"[""climate-environment-water""]",Dev,2026-05-10,"Reviewed title: Mar Menor legal personality and basin belong in climate/environment/water."
parl-initiative:senado:leg14:exp:621/000003,accept_current,digital-finance-technology,"[""digital-finance-technology""]",Dev,2026-05-10,"Reviewed title: electronic trust services belong in digital/data/technology."
parl-initiative:senado:leg15:exp:622/000006,accept_current,public-finance-taxation,"[""public-finance-taxation""]",Dev,2026-05-10,"Reviewed title: VAT law modification belongs in public finance/taxation."
parl-initiative:senado:leg15:exp:626/000006,accept_current,parliamentary-procedure,"[""parliamentary-procedure""]",Dev,2026-05-10,"Reviewed title: Senate rules reform belongs in parliamentary procedure."
parl-initiative:senado:leg14:exp:621/000008,accept_current,digital-finance-technology,"[""digital-finance-technology""]",Dev,2026-05-10,"Reviewed title: digital transformation of financial system belongs in digital finance/technology."
parl-initiative:senado:leg15:exp:626/000002,accept_current,parliamentary-procedure,"[""parliamentary-procedure""]",Dev,2026-05-10,"Reviewed title: Senate rules reform on official languages belongs in parliamentary procedure."
parl-initiative:senado:leg14:exp:621/000004,accept_current,justice-security-rights,"[""justice-security-rights"",""digital-finance-technology""]",Dev,2026-05-10,"Reviewed title: passenger name record data for terrorism/serious crime belongs in justice/security and data technology."
parl-vote:url:https://www.congreso.es/webpublica/opendata/votaciones/Leg15/Sesion159/20260212/Votacion025/VOT_20260212114346.json,accept_current,parliamentary-procedure,"[""parliamentary-procedure""]",Dev,2026-05-10,"Reviewed title: avocation of legislative initiatives is parliamentary procedure."
parl-vote:congreso:vote:d6d15e5a8f16384ce6481d10,accept_current,parliamentary-procedure,"[""parliamentary-procedure""]",Dev,2026-05-10,"Reviewed title: committee opinions on legislative initiatives are parliamentary procedure."
parl-initiative:senado:leg14:exp:610/000110,accept_current,education-culture,"[""education-culture"",""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: UNESCO center agreement belongs in education/culture and international treaties."
parl-initiative:senado:leg14:exp:610/000070,accept_current,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: classified information protection agreement belongs in justice/security and international treaties."
parl-initiative:senado:leg14:exp:610/000117,accept_current,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: NATO summit agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000093,accept_current,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: criminal corruption convention reservation belongs in justice/security and international treaties."
parl-initiative:senado:leg14:exp:610/000102,accept_current,education-culture,"[""education-culture"",""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: education/youth/sport treaty belongs in education/culture/social-youth and international treaties."
parl-initiative:senado:leg14:exp:610/000098,accept_current,agriculture-food-rural,"[""agriculture-food-rural"",""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: hunting/waters agreement on Minho river belongs in agriculture/rural and international treaties."
parl-initiative:senado:leg14:exp:610/000086,accept_current,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: bilateral air transport agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000075,accept_current,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: diplomatic passport visa agreement belongs in justice/security and international treaties."
parl-initiative:senado:leg14:exp:610/000089,accept_current,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: international maritime navigation aids convention belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000077,accept_current,labor-social-rights,"[""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: home work convention belongs in labor/social rights and international treaties."
parl-initiative:senado:leg14:exp:610/000088,accept_current,agriculture-food-rural,"[""agriculture-food-rural"",""labor-social-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: work in fishing sector convention belongs in agriculture/fisheries labor and international treaties."
parl-initiative:senado:leg14:exp:610/000074,accept_current,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-10,"Reviewed title: Rome Statute International Criminal Court amendment belongs in justice/security."
parl-initiative:senado:leg14:exp:610/000092,accept_current,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: protocol to European facility agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000066,accept_current,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: EU-Singapore investment protection agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000065,accept_current,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: EU-Vietnam investment protection agreement belongs in international treaties."
parl-initiative:senado:leg14:exp:610/000067,accept_current,justice-security-rights,"[""justice-security-rights"",""international-relations-treaties""]",Dev,2026-05-10,"Reviewed title: classified information protection agreement belongs in justice/security and international treaties."
