party_name,topic_label,confidence,excerpt
CUP,Sanidad,0.62,"rets socials i millorar les condicions materials de vida de les persones especialment les dones universalitzacio i gestio publica dels serveis de cura i ampliacio de la llei de la dependencia expropiar els habitatges bui"
CUP,Sanidad,0.62,"rets socials i millorar les condicions materials de vida de les persones especialment les dones universalitzacio i gestio publica dels serveis de cura i ampliacio de la llei de la dependencia expropiar els habitatges bui"
CUP,Sanidad,0.62,"rets socials i millorar les condicions materials de vida de les persones especialment les dones universalitzacio i gestio publica dels serveis de cura i ampliacio de la llei de la dependencia expropiar els habitatges bui"
Ciudadanos,Vivienda,0.62,"da del piso se podra devolver poco a poco a traves del irpf facilitaremos los contratos de alquiler con opcion a compra el inquilino podra aprovechar el dinero del alquiler como inversion para la posible compra del piso "
Ciudadanos,Empleo,0.62,"ro de espana cortando las injerencias de los nacionalistas promoveremos el rejuvenecimiento y modernizacion de la flota pesquera estableceremos medidas para reducir la siniestralidad laboral y los accidentes de la flota "
Ciudadanos,Educacion,0.62,"n de poder ser embargados ii un pacto educativo para toda una generacion mostrar informacion ocultar informacion 1 un sistema educativo y no 17 un sistema educativo y no 17 para acabar con la desigualdad entre espanoles "
Ciudadanos,"Coste de vida",0.62,"dad juridica y dinamizar el mercado del alquiler queremos favorecer el acceso a una vivienda en regimen de alquiler seguro y a precios asequibles con medidas sensatas alejadas de modelos fracasados como los controles de "
Ciudadanos,"Seguridad y justicia",0.62,"licos los proyectos normativos del gobierno iran acompanados de un informe de huella legislativa que recoja los tramites e identifique los grupos de interes que hayan intervenido en las distintas fases del proceso 4 una "
Ciudadanos,Igualdad,0.62,"europea y ofrecer proteccion a todas las victimas combatiremos la intolerancia y los discursos de odio sobre todo a traves de las redes sociales siguiendo las recomendaciones de organismos internacionales en particular i"
Ciudadanos,Vivienda,0.62,"da del piso se podra devolver poco a poco a traves del irpf facilitaremos los contratos de alquiler con opcion a compra el inquilino podra aprovechar el dinero del alquiler como inversion para la posible compra del piso "
Ciudadanos,Empleo,0.62,"ro de espana cortando las injerencias de los nacionalistas promoveremos el rejuvenecimiento y modernizacion de la flota pesquera estableceremos medidas para reducir la siniestralidad laboral y los accidentes de la flota "
Ciudadanos,Educacion,0.62,"n de poder ser embargados ii un pacto educativo para toda una generacion mostrar informacion ocultar informacion 1 un sistema educativo y no 17 un sistema educativo y no 17 para acabar con la desigualdad entre espanoles "
Ciudadanos,"Coste de vida",0.62,"dad juridica y dinamizar el mercado del alquiler queremos favorecer el acceso a una vivienda en regimen de alquiler seguro y a precios asequibles con medidas sensatas alejadas de modelos fracasados como los controles de "
Ciudadanos,"Seguridad y justicia",0.62,"licos los proyectos normativos del gobierno iran acompanados de un informe de huella legislativa que recoja los tramites e identifique los grupos de interes que hayan intervenido en las distintas fases del proceso 4 una "
Ciudadanos,Igualdad,0.62,"europea y ofrecer proteccion a todas las victimas combatiremos la intolerancia y los discursos de odio sobre todo a traves de las redes sociales siguiendo las recomendaciones de organismos internacionales en particular i"
Ciudadanos,Vivienda,0.62,"da del piso se podra devolver poco a poco a traves del irpf facilitaremos los contratos de alquiler con opcion a compra el inquilino podra aprovechar el dinero del alquiler como inversion para la posible compra del piso "
Ciudadanos,Empleo,0.62,"ro de espana cortando las injerencias de los nacionalistas promoveremos el rejuvenecimiento y modernizacion de la flota pesquera estableceremos medidas para reducir la siniestralidad laboral y los accidentes de la flota "
Ciudadanos,Educacion,0.62,"n de poder ser embargados ii un pacto educativo para toda una generacion mostrar informacion ocultar informacion 1 un sistema educativo y no 17 un sistema educativo y no 17 para acabar con la desigualdad entre espanoles "
