row_id	source_family	source_id	mode	snapshot_date	timeout_seconds	timeout_policy	strict_network	required_env	url_override	from_file_input	replay_input_expected	replay_input_policy	ingest_command	expected_stdout_log	expected_stderr_log	expected_run_snapshot_csv	expected_source_records_snapshot_csv	notes
placsp_autonomico__strict-network	placsp	placsp_autonomico	strict-network	2026-02-17	30	strict_override_tracker=30s	1	-	-	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_autonomico --snapshot-date 2026-02-17 --strict-network --timeout 30	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__strict-network_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=default
placsp_autonomico__from-file	placsp	placsp_autonomico	from-file	2026-02-17	45	default_timeout=45s	0	-	-	etl/data/raw/samples/placsp_autonomico_sample.xml	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_autonomico --from-file etl/data/raw/samples/placsp_autonomico_sample.xml --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__from-file.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__from-file.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__from-file_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__from-file_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; fixture_source=fallback_file
placsp_autonomico__replay	placsp	placsp_autonomico	replay	2026-02-17	45	default_timeout=45s	0	-	-	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml	must-exist-before-run	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_autonomico --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__replay.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__replay.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__replay_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__replay_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; fixture_source=replay_capture
bdns_autonomico__strict-network	bdns	bdns_autonomico	strict-network	2026-02-17	30	strict_override_tracker=30s	1	-	-	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_autonomico --snapshot-date 2026-02-17 --strict-network --timeout 30	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__strict-network_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=default
bdns_autonomico__from-file	bdns	bdns_autonomico	from-file	2026-02-17	45	default_timeout=45s	0	-	-	etl/data/raw/samples/bdns_autonomico_sample.json	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_autonomico --from-file etl/data/raw/samples/bdns_autonomico_sample.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__from-file.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__from-file.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__from-file_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__from-file_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; fixture_source=fallback_file
bdns_autonomico__replay	bdns	bdns_autonomico	replay	2026-02-17	45	default_timeout=45s	0	-	-	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json	must-exist-before-run	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_autonomico --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__replay.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__replay.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__replay_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__replay_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; fixture_source=replay_capture
placsp_sindicacion__strict-network	placsp	placsp_sindicacion	strict-network	2026-02-17	60	strict_override_tracker=60s	1	-	-	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_sindicacion --snapshot-date 2026-02-17 --strict-network --timeout 60	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__strict-network_source_records_snapshot.csv	min_records_loaded_strict=10; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=default
placsp_sindicacion__from-file	placsp	placsp_sindicacion	from-file	2026-02-17	45	default_timeout=45s	0	-	-	etl/data/raw/samples/placsp_sindicacion_sample.xml	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_sindicacion --from-file etl/data/raw/samples/placsp_sindicacion_sample.xml --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__from-file.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__from-file.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__from-file_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__from-file_source_records_snapshot.csv	min_records_loaded_strict=10; replay_schema=normalized_run_snapshot_v2; fixture_source=fallback_file
placsp_sindicacion__replay	placsp	placsp_sindicacion	replay	2026-02-17	45	default_timeout=45s	0	-	-	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	must-exist-before-run	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_sindicacion --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__replay.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__replay.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__replay_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__replay_source_records_snapshot.csv	min_records_loaded_strict=10; replay_schema=normalized_run_snapshot_v2; fixture_source=replay_capture
bdns_api_subvenciones__strict-network	bdns	bdns_api_subvenciones	strict-network	2026-02-17	30	strict_override_tracker=30s	1	-	-	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_api_subvenciones --snapshot-date 2026-02-17 --strict-network --timeout 30	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_api_subvenciones__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_api_subvenciones__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_api_subvenciones__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_api_subvenciones__strict-network_source_records_snapshot.csv	min_records_loaded_strict=10; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=default
bdns_api_subvenciones__from-file	bdns	bdns_api_subvenciones	from-file	2026-02-17	45	default_timeout=45s	0	-	-	etl/data/raw/samples/bdns_api_subvenciones_sample.json	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_api_subvenciones --from-file etl/data/raw/samples/bdns_api_subvenciones_sample.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_api_subvenciones__from-file.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_api_subvenciones__from-file.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_api_subvenciones__from-file_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_api_subvenciones__from-file_source_records_snapshot.csv	min_records_loaded_strict=10; replay_schema=normalized_run_snapshot_v2; fixture_source=fallback_file
