row_id	source_family	source_id	mode	snapshot_date	timeout_seconds	timeout_policy	strict_network	required_env	url_override	from_file_input	replay_input_expected	replay_input_policy	ingest_command	expected_stdout_log	expected_stderr_log	expected_run_snapshot_csv	expected_source_records_snapshot_csv	notes	command_sha256	matrix_sha256	preflight_status	preflight_notes	validated_at_utc
placsp_autonomico__strict-network	placsp	placsp_autonomico	strict-network	2026-02-17	30	strict_override_tracker=30s	1	-	-	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_autonomico --snapshot-date 2026-02-17 --strict-network --timeout 30	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__strict-network_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=default	eb729b3f184eafedfc4536dc02a193e3edd25487adcf94150e5c7792bb996a08	178fb00cbc55f54f01e727032b16ab59be76b541d7dc0f9a96fddf5cf43085e3	WARN	replay inputs not present yet (allowed at T11, required before replay wave): docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	2026-02-17T10:27:02+00:00
placsp_autonomico__from-file	placsp	placsp_autonomico	from-file	2026-02-17	45	default_timeout=45s	0	-	-	etl/data/raw/samples/placsp_autonomico_sample.xml	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_autonomico --from-file etl/data/raw/samples/placsp_autonomico_sample.xml --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__from-file.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__from-file.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__from-file_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__from-file_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; fixture_source=fallback_file	55b9f87c125ec0507913fe5d127b1da8a912e609b104b20e00cda27c91f53d73	178fb00cbc55f54f01e727032b16ab59be76b541d7dc0f9a96fddf5cf43085e3	WARN	replay inputs not present yet (allowed at T11, required before replay wave): docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	2026-02-17T10:27:02+00:00
placsp_autonomico__replay	placsp	placsp_autonomico	replay	2026-02-17	45	default_timeout=45s	0	-	-	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml	must-exist-before-run	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_autonomico --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__replay.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_autonomico__replay.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__replay_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_autonomico__replay_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; fixture_source=replay_capture	e80db4f4dc42c1f0288002e9ae4e8ccb27a29da983624806fbb66f1af9ef74fa	178fb00cbc55f54f01e727032b16ab59be76b541d7dc0f9a96fddf5cf43085e3	WARN	replay inputs not present yet (allowed at T11, required before replay wave): docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	2026-02-17T10:27:02+00:00
bdns_autonomico__strict-network	bdns	bdns_autonomico	strict-network	2026-02-17	30	strict_override_tracker=30s	1	-	-	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_autonomico --snapshot-date 2026-02-17 --strict-network --timeout 30	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__strict-network_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=default	32bded0dadbe62f9fabf9e615a2ddbc4f42b71e96a13fe885e912abab05ec878	178fb00cbc55f54f01e727032b16ab59be76b541d7dc0f9a96fddf5cf43085e3	WARN	replay inputs not present yet (allowed at T11, required before replay wave): docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	2026-02-17T10:27:02+00:00
bdns_autonomico__from-file	bdns	bdns_autonomico	from-file	2026-02-17	45	default_timeout=45s	0	-	-	etl/data/raw/samples/bdns_autonomico_sample.json	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_autonomico --from-file etl/data/raw/samples/bdns_autonomico_sample.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__from-file.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__from-file.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__from-file_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__from-file_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; fixture_source=fallback_file	a60ef536bfc9e030f57541cbdc4b6703e2e455a770674c91723085376f43c1c0	178fb00cbc55f54f01e727032b16ab59be76b541d7dc0f9a96fddf5cf43085e3	WARN	replay inputs not present yet (allowed at T11, required before replay wave): docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	2026-02-17T10:27:02+00:00
bdns_autonomico__replay	bdns	bdns_autonomico	replay	2026-02-17	45	default_timeout=45s	0	-	-	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json	must-exist-before-run	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_autonomico --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__replay.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_autonomico__replay.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__replay_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_autonomico__replay_source_records_snapshot.csv	min_records_loaded_strict=3; replay_schema=normalized_run_snapshot_v2; fixture_source=replay_capture	0b783204087341b3ba92712b2ffa1d6b2f2531a0f125a80097745277c003a9ee	178fb00cbc55f54f01e727032b16ab59be76b541d7dc0f9a96fddf5cf43085e3	WARN	replay inputs not present yet (allowed at T11, required before replay wave): docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	2026-02-17T10:27:02+00:00
placsp_sindicacion__strict-network	placsp	placsp_sindicacion	strict-network	2026-02-17	60	strict_override_tracker=60s	1	-	-	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_sindicacion --snapshot-date 2026-02-17 --strict-network --timeout 60	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__strict-network_source_records_snapshot.csv	min_records_loaded_strict=10; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=default	22ca37a226dbfa702dc8893da36be7bbdf50e2a983effda50c8ba35bfc364aff	178fb00cbc55f54f01e727032b16ab59be76b541d7dc0f9a96fddf5cf43085e3	WARN	replay inputs not present yet (allowed at T11, required before replay wave): docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	2026-02-17T10:27:02+00:00
placsp_sindicacion__from-file	placsp	placsp_sindicacion	from-file	2026-02-17	45	default_timeout=45s	0	-	-	etl/data/raw/samples/placsp_sindicacion_sample.xml	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_sindicacion --from-file etl/data/raw/samples/placsp_sindicacion_sample.xml --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__from-file.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__from-file.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__from-file_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__from-file_source_records_snapshot.csv	min_records_loaded_strict=10; replay_schema=normalized_run_snapshot_v2; fixture_source=fallback_file	117cc73872c44c2c862379b97345c9dc366316c4521514dce2a51e5d5d605991	178fb00cbc55f54f01e727032b16ab59be76b541d7dc0f9a96fddf5cf43085e3	WARN	replay inputs not present yet (allowed at T11, required before replay wave): docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	2026-02-17T10:27:02+00:00
placsp_sindicacion__replay	placsp	placsp_sindicacion	replay	2026-02-17	45	default_timeout=45s	0	-	-	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	must-exist-before-run	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_sindicacion --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__replay.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/placsp_sindicacion__replay.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__replay_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/placsp_sindicacion__replay_source_records_snapshot.csv	min_records_loaded_strict=10; replay_schema=normalized_run_snapshot_v2; fixture_source=replay_capture	217b25145f6736d5326c1ced5da294713ca0c208082a32ac915032843fa07f25	178fb00cbc55f54f01e727032b16ab59be76b541d7dc0f9a96fddf5cf43085e3	WARN	replay inputs not present yet (allowed at T11, required before replay wave): docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	2026-02-17T10:27:02+00:00
bdns_api_subvenciones__strict-network	bdns	bdns_api_subvenciones	strict-network	2026-02-17	30	strict_override_tracker=30s	1	-	-	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_api_subvenciones --snapshot-date 2026-02-17 --strict-network --timeout 30	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_api_subvenciones__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_api_subvenciones__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_api_subvenciones__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_api_subvenciones__strict-network_source_records_snapshot.csv	min_records_loaded_strict=10; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=default	920cb1838fc6691fc95e21c86628281ee714ae16c2ea06f0650b14cc40f26248	178fb00cbc55f54f01e727032b16ab59be76b541d7dc0f9a96fddf5cf43085e3	WARN	replay inputs not present yet (allowed at T11, required before replay wave): docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_autonomico/placsp_autonomico_replay_20260217.xml, docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/placsp_sindicacion/placsp_sindicacion_replay_20260217.xml	2026-02-17T10:27:02+00:00
