sample_id,party_name,source_url,evidence_id,occurrences,duplicate_count,evidence_ids,excerpt
UQ0001,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560538,1,0,1560538,actividade de explotacion na galiza e situan o seu domicilio social 7 a economia ao servizo das maiorias sociais 39 que galiza conte con mais forza noutras partes do estado deben tributar aqui polo imposto de sociedades estabelecer a sua progresividade en funcion da dimension da empresa deducions inversamente proporcio
UQ0002,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560545,1,0,1560545,traballadoras e impulsaron o goberno a actuar para evitar o fechamento da empresa mais tamen as numerosas emendas presentadas que ainda que fose parcialmente contribuiron a mellorar diversas leis como exemplo na lei de pesca foron incorporadas tres propostas do bng moi relevantes a obrigacion por parte do goberno de es
UQ0003,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1561393,1,0,1561393,a laboral do pp non derrogada na sua totalidade e so moi parcialmente modificada os novos recortes en pensions a escalada belicista e o aumento do gasto militar ou a proteccion da corrupcion da monarquia o psoe votou reiteradamente con pp e vox para rexeitar as comisions de investigacion que propuxemos o bng e outras f
UQ0004,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1560437,2,1,"1560437,1560495",populares e traballadoras asi o aumento continuado das taxas de xuro por parte do bce do 0 en 2012 ao 45 actual un tipo nunca visto desde o ano 2001 provocaron o aumento das cotas hipotecarias afogando familias e tecido produtivo mentres as entidades financeiras atinxian record de lucros a ue non quixo despregar ningun
UQ0005,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1560438,2,1,"1560438,1560496",ses das grandes transnacionais que exercen un forte poder lobistico sobre o seu deseno como esta a acontecer na galiza cos macroproxectos de enerxia eolica terrestre e marina ao amparo de politicas europeas que non tenen en conta a nosa especificidade ou coa megacelulosa proxectada pola empresa greenfiber altri greenal
UQ0006,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1560443,2,1,"1560443,1560501",belicista cada vez mais desenfreada outra mostra do fracasado modelo neoliberal da ue son os fluxos migratorios que non paran de exacerbarse non so provocando a chegada masiva de inmigrantes extracomunitarias que foxen de guerras e miseria nos seus paises de orixe provocadas en parte directa ou indirectamente polas pol
UQ0007,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1560808,2,1,"1560808,1560822",remo nun cadro de evidente emerxencia sanitaria a ue permitiu na practica unha intervencion publica efectiva senon que relegou o papel do publico a medidas de control en termos de seguridade e a ser o financiador a cargo de debeda publica dun gran negocio que se esta a demostrar que estivo atravesado por un afan especu
UQ0008,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1560809,2,1,"1560809,1560823",e por unha europa socialmente xusta a union europea conta cun deseno neoliberal antisocial feito a medida dos intereses das elites economicas e empresariais que provoca fondas desigualdades economicas territoriais e sociais apos a pandemia da covid 19 e no que respecta ao capitalismo europeo asistimos a acumulacion de 
UQ0009,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1561341,2,1,"1561341,1561346",produtivo mentres as entidades financeiras atinxian record de lucros a ue non quixo despregar ningunha medida efectiva e real para combater a carestia da vida empurrada pola crise inflacionaria nin o crecente empobrecemento social o horizonte que trazan reformas en curso como a da denominada gobernanza economica da ue 
UQ0010,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1561343,2,1,"1561343,1561348",de control en termos de seguridade e a ser o financiador a cargo de debeda publica dun gran negocio que se esta a demostrar que estivo atravesado por un afan especulativo e tramas corruptas diante dos graves efectos economicos e sociais que se derivaron da pandemia a ue deu unha resposta aparentemente distinta da despr
